Mach,CD
0,0
0.01,0.449632235
0.02,0.435211803
0.03,0.418240451
0.04,0.412709271
0.05,0.408161789
0.06,0.403851105
0.07,0.399896335
0.08,0.396295992
0.09,0.393012605
0.1,0.390015907
0.11,0.387265484
0.12,0.384729714
0.13,0.382381568
0.14,0.380198241
0.15,0.378160437
0.16,0.376251801
0.17,0.374458424
0.18,0.372768357
0.19,0.371171364
0.2,0.369658572
0.21,0.36822228
0.22,0.366855717
0.23,0.365552972
0.24,0.364308816
0.25,0.363118615
0.26,0.362131252
0.27,0.361190025
0.28,0.36029164
0.29,0.359433124
0.3,0.358611775
0.31,0.357825208
0.32,0.357071182
0.33,0.356631386
0.34,0.356729307
0.35,0.356827344
0.36,0.356925479
0.37,0.357023749
0.38,0.357122134
0.39,0.357220634
0.4,0.357319249
0.41,0.357417978
0.42,0.35751682
0.43,0.357615757
0.44,0.357714825
0.45,0.357814006
0.46,0.357913298
0.47,0.358012702
0.48,0.358112217
0.49,0.358211843
0.5,0.358311561
0.51,0.358411406
0.52,0.358511362
0.53,0.358611426
0.54,0.358711598
0.55,0.358811879
0.56,0.358912268
0.57,0.359012745
0.58,0.359113348
0.59,0.359214058
0.6,0.359314873
0.61,0.359692642
0.62,0.360060584
0.63,0.360428611
0.64,0.360796762
0.65,0.361165017
0.66,0.361533376
0.67,0.361901838
0.68,0.362270403
0.69,0.362639052
0.7,0.363007822
0.71,0.363376695
0.72,0.363745668
0.73,0.364114743
0.74,0.364483919
0.75,0.364853176
0.76,0.365222552
0.77,0.365592028
0.78,0.365961604
0.79,0.366331278
0.8,0.366701032
0.81,0.367070922
0.82,0.367440873
0.83,0.36781094
0.84,0.368181104
0.85,0.368551364
0.86,0.368921703
0.87,0.369292175
0.88,0.369662706
0.89,0.370033351
0.9,0.370404092
0.91,0.372922839
0.92,0.380479083
0.93,0.391804292
0.94,0.403120346
0.95,0.4144364
0.96,0.425752454
0.97,0.437068508
0.98,0.448384562
0.99,0.459700616
1,0.47101667
1.01,0.482332724
1.02,0.493648777
1.03,0.504964831
1.04,0.516280885
1.05,0.527596939
1.06,0.526295973
1.07,0.525010661
1.08,0.523740568
1.09,0.522485246
1.1,0.52124432
1.11,0.520017347
1.12,0.518804005
1.13,0.517603935
1.14,0.516416755
1.15,0.515252021
1.16,0.513862995
1.17,0.512484544
1.18,0.511124354
1.19,0.509781446
1.2,0.508455201
1.21,0.507145047
1.22,0.505850514
1.23,0.504571199
1.24,0.503306721
1.25,0.502056758
1.26,0.500821005
1.27,0.499599125
1.28,0.498390916
1.29,0.497196076
1.3,0.496014372
1.31,0.494845569
1.32,0.493689447
1.33,0.492545784
1.34,0.491414382
1.35,0.490295062
1.36,0.489187603
1.37,0.488091639
1.38,0.487006546
1.39,0.485932179
1.4,0.48486837
1.41,0.483815028
1.42,0.482771968
1.43,0.481739108
1.44,0.4807163
1.45,0.479703421
1.46,0.478700373
1.47,0.477707029
1.48,0.476723275
1.49,0.475748989
1.5,0.474784092
1.51,0.473828464
1.52,0.472882013
1.53,0.471944618
1.54,0.471016216
1.55,0.470096685
1.56,0.469185943
1.57,0.468283888
1.58,0.467390451
1.59,0.466505552
1.6,0.465629082
1.61,0.464760985
1.62,0.463901148
1.63,0.463049545
1.64,0.462206042
1.65,0.461370628
1.66,0.46054316
1.67,0.459723617
1.68,0.458911934
1.69,0.458108002
1.7,0.457311801
1.71,0.45652325
1.72,0.455742292
1.73,0.454968848
1.74,0.454202886
1.75,0.453444333
1.76,0.452693141
1.77,0.451949262
1.78,0.451212619
1.79,0.450483206
1.8,0.449760915
1.81,0.449045758
1.82,0.448337633
1.83,0.447636548
1.84,0.446942419
1.85,0.446255214
1.86,0.445574923
1.87,0.444901462
1.88,0.444234823
1.89,0.443574947
1.9,0.442921838
1.91,0.442275399
1.92,0.441635634
1.93,0.441002539
1.94,0.440376018
1.95,0.439427882
1.96,0.43842142
1.97,0.437418901
1.98,0.436420224
1.99,0.43542531
2,0.434434119
2.01,0.4335573
2.02,0.432679255
2.03,0.43180675
2.04,0.430939747
2.05,0.430078098
2.06,0.429221781
2.07,0.428370706
2.08,0.427524766
2.09,0.426683915
2.1,0.425848074
2.11,0.425017169
2.12,0.424191119
2.13,0.423369892
2.14,0.422553383
2.15,0.421741552
2.16,0.420934343
2.17,0.420131672
2.18,0.419333486
2.19,0.41853975
2.2,0.417750387
2.21,0.416965337
2.22,0.416184555
2.23,0.415408001
2.24,0.414635608
2.25,0.413867337
2.26,0.413103131
2.27,0.412342947
2.28,0.411586741
2.29,0.410834477
2.3,0.410086077
2.31,0.409341528
2.32,0.408600796
2.33,0.407863817
2.34,0.407130575
2.35,0.406400998
2.36,0.405675068
2.37,0.40495276
2.38,0.404234015
2.39,0.403518814
2.4,0.40280711
2.41,0.402098888
2.42,0.401394095
2.43,0.400692725
2.44,0.399994705
2.45,0.399300026
2.46,0.398608679
2.47,0.397920605
2.48,0.397235805
2.49,0.396554201
2.5,0.39587581
2.51,0.395200591
2.52,0.394528528
2.53,0.393859568
2.54,0.393193721
2.55,0.392530935
2.56,0.391871184
2.57,0.391214474
2.58,0.39056075
2.59,0.389910009
2.6,0.389262217
2.61,0.388617341
2.62,0.387975408
2.63,0.387336336
2.64,0.386700151
2.65,0.386066802
2.66,0.385436299
2.67,0.384808586
2.68,0.384183657
2.69,0.383561516
2.7,0.382942125
2.71,0.382325463
2.72,0.38171151
2.73,0.381100265
2.74,0.380491697
2.75,0.379885796
2.76,0.379282534
2.77,0.378681903
2.78,0.3780839
2.79,0.377488467
2.8,0.376895656
2.81,0.376305386
2.82,0.375717671
2.83,0.37513249
2.84,0.374549835
2.85,0.373969691
2.86,0.373392036
2.87,0.372816862
2.88,0.372244141
2.89,0.371673887
2.9,0.371106061
2.91,0.370540667
2.92,0.369977684
2.93,0.369417088
2.94,0.368858881
2.95,0.368303042
2.96,0.367749569
2.97,0.367198431
2.98,0.366649643
2.99,0.366103167
3,0.365559007
3.01,0.365089446
3.02,0.364621332
3.03,0.364154678
3.04,0.363689474
3.05,0.363225725
3.06,0.36276341
3.07,0.362302544
3.08,0.361843108
3.09,0.361385124
3.1,0.360928553
3.11,0.360473429
3.12,0.360019724
3.13,0.359567438
3.14,0.359116576
3.15,0.358667136
3.16,0.358219098
3.17,0.357772479
3.18,0.357327269
3.19,0.356883468
3.2,0.356441067
3.21,0.356000061
3.22,0.355560456
3.23,0.355122245
3.24,0.354685412
3.25,0.354249964
3.26,0.353815925
3.27,0.353383257
3.28,0.352951956
3.29,0.352522027
3.3,0.352093479
3.31,0.351666293
3.32,0.35124048
3.33,0.350816018
3.34,0.350392923
3.35,0.349971161
3.36,0.349550784
3.37,0.349131731
3.38,0.348714014
3.39,0.348297663
3.4,0.347882646
3.41,0.347468966
3.42,0.347056591
3.43,0.346645562
3.44,0.346235869
3.45,0.345827469
3.46,0.345420398
3.47,0.34501465
3.48,0.344610207
3.49,0.344207057
3.5,0.343805223
3.51,0.343404691
3.52,0.343005434
3.53,0.342607476
3.54,0.342210821
3.55,0.341815447
3.56,0.341421334
3.57,0.341028519
3.58,0.340636974
3.59,0.340246696
3.6,0.339857664
3.61,0.339469919
3.62,0.339083428
3.63,0.33869817
3.64,0.338314186
3.65,0.337931441
3.66,0.337549937
3.67,0.337169663
3.68,0.336790635
3.69,0.336412833
3.7,0.336036245
3.71,0.33566089
3.72,0.335286759
3.73,0.334913844
3.74,0.334542122
3.75,0.334171615
3.76,0.333802311
3.77,0.333434192
3.78,0.333067274
3.79,0.332701556
3.8,0.332337008
3.81,0.331973644
3.82,0.331611474
3.83,0.331250458
3.84,0.330890599
3.85,0.330531931
3.86,0.330174409
3.87,0.32981804
3.88,0.329462822
3.89,0.329108744
3.9,0.328755824
3.91,0.328404019
3.92,0.328053369
3.93,0.327703847
3.94,0.327355444
3.95,0.327008155
3.96,0.326661987
3.97,0.32631694
3.98,0.325972975
3.99,0.325630137
4,0.32528838
4.01,0.324962826
4.02,0.324638331
4.03,0.324314932
4.04,0.323992616
4.05,0.323671347
4.06,0.323351154
4.07,0.32303202
4.08,0.322713959
4.09,0.322396927
4.1,0.322080968
4.11,0.321766045
4.12,0.321452165
4.13,0.321139306
4.14,0.320827501
4.15,0.32051671
4.16,0.320206945
4.17,0.319898196
4.18,0.319590477
4.19,0.319283756
4.2,0.318978036
4.21,0.318673326
4.22,0.318369613
4.23,0.318066881
4.24,0.317765157
4.25,0.317464406
4.26,0.317164636
4.27,0.316865842
4.28,0.316568019
4.29,0.316271165
4.3,0.315975266
4.31,0.315680326
4.32,0.315386353
4.33,0.315093323
4.34,0.314801222
4.35,0.314510075
4.36,0.314219868
4.37,0.313930579
4.38,0.313642221
4.39,0.313354783
4.4,0.313068266
4.41,0.312782664
4.42,0.312497966
4.43,0.31221417
4.44,0.311931273
4.45,0.31164927
4.46,0.311368167
4.47,0.31108794
4.48,0.310808595
4.49,0.310530139
4.5,0.310252544
4.51,0.30997581
4.52,0.309699951
4.53,0.309424952
4.54,0.309150803
4.55,0.308877496
4.56,0.308605048
4.57,0.308333434
4.58,0.30806265
4.59,0.307792693
4.6,0.30752358
4.61,0.307255283
4.62,0.306987789
4.63,0.306721116
4.64,0.306455268
4.65,0.306190202
4.66,0.305925942
4.67,0.305662485
4.68,0.305399817
4.69,0.305137913
4.7,0.304876811
4.71,0.304616482
4.72,0.304356928
4.73,0.304098119
4.74,0.303840104
4.75,0.303582828
4.76,0.303326296
4.77,0.303070537
4.78,0.302815513
4.79,0.302561221
4.8,0.302307666
4.81,0.302054846
4.82,0.301802765
4.83,0.301551381
4.84,0.301300725
4.85,0.301050778
4.86,0.300801541
4.87,0.300553004
4.88,0.30030517
4.89,0.300058035
4.9,0.299811577
4.91,0.299565811
4.92,0.299320728
4.93,0.299076321
4.94,0.29883257
4.95,0.298589506
4.96,0.29834709
4.97,0.298105331
4.98,0.297864232
4.99,0.297623779
5,0.29738397
